numero_grafo,exito,numero_nodos,numero_aristas,tiempoMS
grafo_1.txt,exito,5,14,3.9693
grafo_10.txt,exito,8,20,3.9390
grafo_100.txt,exito,18,34,5.0895
grafo_11.txt,exito,16,30,6.0174
grafo_12.txt,exito,16,42,5.7561
grafo_13.txt,exito,17,52,5.2387
grafo_14.txt,exito,15,42,4.5742
grafo_15.txt,exito,10,18,3.8963
grafo_16.txt,exito,9,16,6.6523
grafo_17.txt,exito,7,18,4.4026
grafo_18.txt,exito,10,26,4.9927
grafo_19.txt,exito,9,18,4.3985
grafo_2.txt,exito,9,24,4.4455
grafo_20.txt,exito,14,52,4.4925
grafo_21.txt,exito,16,32,6.4513
grafo_22.txt,exito,10,34,3.9180
grafo_23.txt,exito,14,34,4.1298
grafo_24.txt,exito,9,26,4.2347
grafo_25.txt,exito,15,36,3.9550
grafo_26.txt,exito,18,60,4.6748
grafo_27.txt,exito,7,12,3.8867
grafo_28.txt,exito,10,30,4.5924
grafo_29.txt,exito,10,36,7.5835
grafo_3.txt,exito,6,14,4.4337
grafo_30.txt,exito,9,22,3.6185
grafo_31.txt,exito,17,56,3.9166
grafo_32.txt,exito,9,22,4.6742
grafo_33.txt,exito,16,52,3.8407
grafo_34.txt,exito,8,14,3.7778
grafo_35.txt,exito,14,50,5.1191
grafo_36.txt,exito,16,32,3.6680
grafo_37.txt,exito,15,40,4.8655
grafo_38.txt,exito,16,52,3.8783
grafo_39.txt,exito,14,50,4.0751
grafo_4.txt,exito,12,22,6.9636
grafo_40.txt,exito,8,18,8.7468
grafo_41.txt,exito,17,54,11.8288
grafo_42.txt,exito,5,10,4.0870
grafo_43.txt,exito,16,44,5.0560
grafo_44.txt,exito,5,14,3.8710
grafo_45.txt,exito,17,32,8.1042
grafo_46.txt,exito,8,18,4.1097
grafo_47.txt,exito,7,22,4.7651
grafo_48.txt,exito,16,44,4.1945
grafo_49.txt,exito,12,34,3.5475
grafo_5.txt,exito,14,36,5.6019
grafo_50.txt,exito,13,26,4.6249
grafo_51.txt,exito,9,24,5.0697
grafo_52.txt,exito,17,46,5.0906
grafo_53.txt,exito,7,12,6.6011
grafo_54.txt,exito,15,44,4.5421
grafo_55.txt,exito,11,30,3.9308
grafo_56.txt,exito,16,36,4.6426
grafo_57.txt,exito,10,20,3.6453
grafo_58.txt,exito,10,30,5.6716
grafo_59.txt,exito,17,36,4.4372
grafo_6.txt,exito,13,26,4.7564
grafo_60.txt,exito,14,38,4.0171
grafo_61.txt,exito,15,44,4.0552
grafo_62.txt,exito,14,28,6.1559
grafo_63.txt,exito,9,16,3.6787
grafo_64.txt,exito,18,40,6.3221
grafo_65.txt,exito,10,22,4.1616
grafo_66.txt,exito,7,12,7.3865
grafo_67.txt,exito,18,38,4.2148
grafo_68.txt,exito,16,48,4.2923
grafo_69.txt,exito,10,28,4.7119
grafo_7.txt,exito,18,42,4.1609
grafo_70.txt,exito,14,46,6.3655
grafo_71.txt,exito,6,16,3.8006
grafo_72.txt,exito,9,24,3.5107
grafo_73.txt,exito,6,12,5.5419
grafo_74.txt,exito,6,18,3.8205
grafo_75.txt,exito,8,24,5.6652
grafo_76.txt,exito,14,48,4.7956
grafo_77.txt,exito,16,34,7.2607
grafo_78.txt,exito,6,10,5.1960
grafo_79.txt,exito,5,16,7.3211
grafo_8.txt,exito,10,20,6.4291
grafo_80.txt,exito,15,36,5.1304
grafo_81.txt,exito,10,30,6.1766
grafo_82.txt,exito,11,30,4.7185
grafo_83.txt,exito,12,26,6.6639
grafo_84.txt,exito,9,26,4.2591
grafo_85.txt,exito,7,12,4.9096
grafo_86.txt,exito,13,36,4.6208
grafo_87.txt,exito,8,20,5.1116
grafo_88.txt,exito,9,26,3.6326
grafo_89.txt,exito,14,46,7.0181
grafo_9.txt,exito,15,40,6.9981
grafo_90.txt,exito,13,32,5.6449
grafo_91.txt,exito,16,34,6.6947
grafo_92.txt,exito,6,10,5.5538
grafo_93.txt,exito,9,20,5.2052
grafo_94.txt,exito,18,56,7.0544
grafo_95.txt,exito,18,50,4.9498
grafo_96.txt,exito,10,20,7.0653
grafo_97.txt,exito,13,26,4.1681
grafo_98.txt,exito,12,32,5.1696
grafo_99.txt,exito,7,16,4.3407
